"Freq [thz]","dB(S(1,1)) [] - W1='4um'","dB(S(1,1)) [] - W1='20um'","dB(S(1,1)) [] - W1='30um'","dB(S(1,1)) [] - W1='40um'","dB(S(1,1)) [] - W1='50um'","dB(S(1,1)) [] - W1='60um'"
1,-1.09407557367624,-0.778734215041584,-0.77006308317129,-0.794864833856579,-0.732843022521992,-0.732428614466727
1.02,-1.14325807134281,-0.807249512367053,-0.798177206657422,-0.82597855280767,-0.756464255411916,-0.754378805376447
1.04,-1.1980697116572,-0.839194552197188,-0.829591256091655,-0.860840067906974,-0.783473730376322,-0.779562421086543
1.06,-1.25942773127817,-0.874958159127786,-0.864632059385269,-0.899935819840191,-0.814195576220086,-0.808261025862992
1.08,-1.32860590970253,-0.915133094418399,-0.903785748070781,-0.943931240637585,-0.849138804976315,-0.840927323691712
1.1,-1.40739252605117,-0.960539284886093,-0.947693698337199,-0.993699276225364,-0.889007090661968,-0.878200920676237
1.12,-1.49847020300638,-1.01228892235549,-0.997167486034434,-1.05035587164481,-0.934747196051606,-0.920952838715318
1.14,-1.60640890190453,-1.0719112973763,-1.05322066489744,-1.11533403850262,-0.987627061231474,-0.970365661437419
1.16,-1.74072292970679,-1.14158133645058,-1.11711862115926,-1.19048063411228,-1.04936812842877,-1.0280799312516
1.18,-1.92737529993715,-1.22454975455115,-1.19045079216169,-1.27821215998192,-1.12235384031486,-1.09640357963024
1.2,-2.25315764685761,-1.32600000366886,-1.27523301949316,-1.38174088336919,-1.20999232422752,-1.17876549323493
1.22,-2.67518869751582,-1.45488769153674,-1.37405257693258,-1.50541665514339,-1.31731719210319,-1.28034423024104
1.24,-2.55320653343709,-1.62819300730628,-1.49027557843979,-1.65526106094198,-1.45208142638238,-1.40957078732792
1.26,-2.61909730269575,-1.8813824023416,-1.62834772685828,-1.83978366197781,-1.62671180874524,-1.5804122797651
1.28,-2.83626363056858,-2.2927572224223,-1.79423745818002,-2.07137398287435,-1.86184914716073,-1.81683342418453
1.3,-3.13637453391891,-2.99541984892454,-1.99609989466284,-2.36845407729349,-2.19183802432342,-2.15691961188112
1.32,-3.51216643656507,-3.77147177249701,-2.24528738978502,-2.75909162329471,-2.66753313742299,-2.63802473419536
1.34,-3.97434491812305,-3.61667555025236,-2.55790630483896,-3.28668063680169,-3.32040157918875,-3.18849961966393
1.36,-4.54285024281248,-3.1961109568292,-2.95722307801686,-4.01656252110578,-3.98026304863451,-3.48920620865048
1.38,-5.24638368439057,-3.11109920034067,-3.4773182506225,-5.03794797878838,-4.17463959965931,-3.42663477635187
1.4,-6.12464987618865,-3.27124125270582,-4.16825086801854,-6.41681472003219,-3.92576764079021,-3.33293853230693
1.42,-7.23324434433306,-3.5955623443381,-5.10163399976737,-7.96476987839,-3.74120597954122,-3.4001487874862
1.44,-8.65130661893242,-4.06275717901392,-6.36888407912676,-8.83691165802471,-3.80962554451359,-3.64527369607632
1.46,-10.4957566721492,-4.68431146366473,-8.03724659520546,-8.41826248272711,-4.12071201202696,-4.0609419940542
1.48,-12.9327447774246,-5.49398716033432,-9.94594560718972,-7.58515463510776,-4.65854350232192,-4.65849479544406
1.5,-16.0913330700003,-6.54805280275646,-11.2802219395568,-7.12814397208434,-5.43966289038404,-5.47313333029082
1.52,-19.0454398435913,-7.93326405171339,-11.1826482990509,-7.2030778980724,-6.5138393955282,-6.56624873696805
1.54,-18.1842054169829,-9.78545085122107,-10.3817272829052,-7.76831031951503,-7.96252785138598,-8.03137501758563
1.56,-14.9650082988384,-12.3219432623114,-9.85077259669874,-8.7607992314084,-9.88965728535522,-10.0012964762722
1.58,-12.2011633016657,-15.8377406246566,-9.83494741657893,-10.0656305868336,-12.3391630314258,-12.6199405237889
1.6,-10.1243036651111,-19.6919836314303,-10.2121255348991,-11.3532205493357,-14.8123173376095,-15.6848946706133
1.62,-8.55721929133546,-18.7106008602472,-10.682145035046,-11.9441309663976,-15.345108033128,-17.0532298758343
1.64,-7.35343500847751,-14.8855412522214,-10.8413730336596,-11.3734899186256,-13.4360608898481,-14.9639506845107
1.66,-6.41386915329116,-11.9528316037967,-10.4417812911653,-10.0963663186773,-11.1889564040503,-12.2827843023123
1.68,-5.67130779828145,-9.90486837257362,-9.62473213451118,-8.7680065635185,-9.43299083363127,-10.2304472435738
1.7,-5.07863455153553,-8.46296037681815,-8.7146238249177,-7.68521460001475,-8.19702258483464,-8.7963066596779
1.72,-4.60199179038689,-7.44388985349829,-7.94465177008821,-6.90985313408667,-7.38155774219616,-7.84885183405356
1.74,-4.2163223344949,-6.72105392527188,-7.4226653833178,-6.40221333604752,-6.85764500104372,-7.28297140924214
1.76,-3.90301917750459,-6.18233137681913,-7.1821070588256,-6.05007283852469,-6.43016281925726,-6.97982140598407
1.78,-3.64822755121481,-5.71491166073315,-7.19485292150794,-5.70173750883021,-5.88607401373353,-6.71070670166719
1.8,-3.44158331575042,-5.23658606316442,-7.32617575080692,-5.27402597309306,-5.20464615918869,-6.17654026166853
1.82,-3.27514075852464,-4.73840476914247,-7.30935430504408,-4.80438705041439,-4.54659334277299,-5.37648302370095
1.84,-3.14281437686535,-4.26374279168451,-6.92596876077892,-4.36757180134603,-4.02253241644717,-4.60537952243265
1.86,-3.0398762718368,-3.85156257110345,-6.24972357815605,-4.00628882037803,-3.64468542362857,-4.03202196270725
1.88,-2.9627701013478,-3.51453358411283,-5.51475067807232,-3.73220216877484,-3.38880499299532,-3.65626263941513
1.9,-2.90885454489969,-3.24774364020582,-4.87306925325581,-3.54639354968202,-3.23113478412577,-3.4344298486661
1.92,-2.87626181798256,-3.04049918369048,-4.36723902826192,-3.45400756826116,-3.15800314439425,-3.33304378006273
1.94,-2.86381344537234,-2.88235401013741,-3.9900426244417,-3.47008122394132,-3.16585166282236,-3.33469438631165
1.96,-2.87090643008052,-2.7649859598214,-3.72406831940079,-3.59325083153901,-3.25518422803103,-3.42483174621858
1.98,-2.89773810852,-2.6818506209478,-3.55668982954581,-3.68151786270754,-3.40383284939843,-3.5505089338092
2,-2.94506105479786,-2.6254596496031,-3.47943892069576,-3.5027069306669,-3.49938481819533,-3.56222819281034
2.02,-3.01422273669955,-2.58316420998888,-3.46029618948057,-3.20532675915831,-3.3681906770972,-3.34036457283922
2.04,-3.10729579992129,-2.54492172202381,-3.39797864647669,-2.99453453084945,-3.0779607471964,-3.03844062058817
2.06,-3.22724845000115,-2.51959709336802,-3.23820045016484,-2.88245481603072,-2.84920811874375,-2.83911630811895
2.08,-3.37808410405231,-2.51781443431513,-3.07985716246172,-2.83715303715507,-2.74512660077205,-2.76619560232571
2.1,-3.56527468061166,-2.54044459271939,-2.98396252802324,-2.83683542266767,-2.73809000075266,-2.7876730047792
2.12,-3.79568368926464,-2.5858595484864,-2.94602900850899,-2.87027276143707,-2.79926072819309,-2.8787609425295
2.14,-4.07836757236036,-2.65369370702898,-2.9519819942595,-2.93234601210772,-2.9137888338786,-3.02877916590234
2.16,-4.42484655426489,-2.74517721742316,-2.99309251103412,-3.02138446183933,-3.0771549473721,-3.23725570191332
2.18,-4.84956809248354,-2.86298380938661,-3.06552977677179,-3.1378414600353,-3.29159336156636,-3.51127208161875
2.2,-5.37032938499953,-3.01118986586767,-3.16865846630915,-3.28378383496198,-3.56444135867249,-3.86468975862778
2.22,-6.00816936250774,-3.19563551962463,-3.30405784744625,-3.46265395710822,-3.9079542945717,-4.31889772911392
2.24,-6.78617657914536,-3.42420567779633,-3.47511724516816,-3.67926874396671,-4.33998982321319,-4.90443156452519
2.26,-7.72569384141785,-3.70755614821783,-3.68697628002642,-3.93991269956072,-4.88550832926651,-5.66282299249405
2.28,-8.8367725063787,-4.05997302689899,-3.94668613808216,-4.25245834191705,-5.5787430566447,-6.6468016669637
2.3,-10.0969862598922,-4.50058765748533,-4.26354139613749,-4.62638793516595,-6.46600553745976,-7.91352457742863
2.32,-11.4115054186999,-5.05500777721724,-4.6495715507433,-5.0726535041397,-7.60829449551758,-9.50047441957737
2.34,-12.5672125244335,-5.75704095900984,-5.12020166865889,-5.60255473261684,-9.0807030589634,-11.3697867739355
2.36,-13.2700160367305,-6.65134765375659,-5.69509465888024,-6.22555675457907,-10.9583444533769,-13.3449565333989
2.38,-13.3658190217785,-7.79556966042447,-6.3991533813055,-6.94391717514211,-13.2559108505848,-15.1901954582286
2.4,-13.0073207540847,-9.26366433797608,-7.2635121998862,-7.7423577196934,-15.7485875655488,-16.9262861047824
2.42,-12.4816474837163,-11.1502798143033,-8.32582863517678,-8.57114936637189,-17.7287431455597,-18.9216794171321
2.44,-11.995787762201,-13.5804379096693,-9.62740688653295,-9.32692340494258,-18.4062976230894,-21.3299159684294
2.46,-11.6434075638873,-16.7336875299402,-11.1984420417172,-9.85601733712165,-17.7353136011628,-22.4461802011021
2.48,-11.4500796664245,-20.8977558609384,-13.001673787393,-10.0185697020748,-16.1103838971296,-20.08147034891
2.5,-11.410700869603,-26.3842834622849,-14.7587942179378,-9.79019442996866,-14.1119172354228,-16.8625750486283
2.52,-11.5106822145001,-29.8080242037042,-15.7054509765061,-9.28222787234232,-12.229087908327,-14.2517167776413
2.54,-11.7389972428753,-25.7418266277288,-15.1581293972198,-8.65269025874502,-10.6538300242539,-12.2574653037188
2.56,-12.0991044288229,-21.4240727400797,-13.6232255093573,-8.02464228997498,-9.39328644861965,-10.7146975999385
2.58,-12.6197399510307,-17.867033018196,-11.9261259898908,-7.46934670586889,-8.39498126034602,-9.49275039223115
2.6,-13.3645553399389,-14.9072273346031,-10.4180510862442,-7.02218575588806,-7.60127627097703,-8.50518291726395
2.62,-14.4373062417017,-12.5076648087241,-9.17332692407834,-6.70116670552057,-6.96608250956044,-7.70041451620204
2.64,-15.9301654395099,-10.6407626378585,-8.18857958453797,-6.51952472132704,-6.45807542758301,-7.05281058416345
2.66,-17.5024316980252,-9.25655345096921,-7.44792882693226,-6.49333216668648,-6.0596030968247,-6.55447706302283
2.68,-17.4037581547723,-8.29002061122087,-6.93714878971932,-6.64365656192197,-5.76425521245306,-6.20744177634703
2.7,-15.4253398810583,-7.6737117357311,-6.64515201327807,-6.98606779694005,-5.57367042784561,-6.01661406477006
2.72,-13.9490068821719,-7.34734464012082,-6.56444981338117,-7.4919541038646,-5.49294972547146,-5.98316056992046
2.74,-13.442475934351,-7.26174625729107,-6.69264097122057,-8.02956960486241,-5.52224710067135,-6.0957656863753
2.76,-13.3633201233037,-7.37551780397138,-7.03302974779446,-8.38582001112543,-5.64381922066296,-6.31890741949322
2.78,-13.213500242036,-7.6410949391645,-7.58946372850166,-8.44596100201635,-5.81576082542278,-6.58817692483546
2.8,-12.7480022784017,-7.97522371157948,-8.34543942502098,-8.28726964727495,-5.99088848305993,-6.8327729691569
2.82,-11.9728480235763,-8.22528699536217,-9.21155622490951,-8.04275174849569,-6.14690374958931,-7.01587578586323
2.84,-11.0273974236778,-8.20350456699119,-9.94683777672096,-7.78892339501621,-6.29108684336213,-7.1471497266159
2.86,-10.0510656412049,-7.84851639589422,-10.188923546324,-7.54839333191498,-6.4420604412731,-7.25775849382713
2.88,-9.13107126666058,-7.30679210890432,-9.7785214123842,-7.32126874882745,-6.61273140576446,-7.37262667475899
2.9,-8.30807998499768,-6.77019552918687,-8.96215091062197,-7.1033184625374,-6.79910242342697,-7.49628257924878
2.92,-7.59473404612239,-6.33600564858678,-8.07769364396587,-6.89157980272184,-6.97196322115762,-7.60696407935003
2.94,-6.98957342423743,-6.01783833680101,-7.30280120082927,-6.68443927874303,-7.07859558980213,-7.65979566193501
2.96,-6.48494430104075,-5.79516309296147,-6.68087153034541,-6.4804450947171,-7.06638162151406,-7.60698395897679
2.98,-6.0710822711854,-5.64053344893183,-6.1996347933121,-6.27779980482563,-6.91800893334912,-7.42865312674138
3,-5.7380368959535,-5.52887775601123,-5.83355939578905,-6.07514138957167,-6.6630959671414,-7.1466169441078
3.02,-5.476586908473,-5.44115770641334,-5.55883468230316,-5.87322823661346,-6.35510633330546,-6.80771545641892
3.04,-5.2785132214231,-5.36661486614449,-5.35688804611884,-5.67608095243723,-6.04251412899782,-6.45762869121559
3.06,-5.1366667774651,-5.30274368437956,-5.21433379120293,-5.48985648069724,-5.75649699125939,-6.12715380306853
3.08,-5.0448435564306,-5.25265080174193,-5.12203833982729,-5.32007479139824,-5.51243795392622,-5.83205708661253
3.1,-4.99765207239978,-5.2215357389053,-5.07385974616198,-5.16934335570177,-5.31545466493227,-5.57831539381478
3.12,-4.9903095606234,-5.21415664892463,-5.0653085034393,-5.03758854004713,-5.16515774763973,-5.36741331028899
3.14,-5.01848069334666,-5.23393028196828,-5.09253411426191,-4.92352024341786,-5.0586795743421,-5.19985757905953
3.16,-5.07813548105714,-5.28290592815482,-5.15182881436814,-4.8262763045541,-4.99265563425763,-5.07701665202331
3.18,-5.16545843309787,-5.36226139145432,-5.23950931260779,-4.74625124635128,-4.9647459589657,-5.00163772340281
3.2,-5.27679300194967,-5.47270451451186,-5.35197194222471,-4.68525894090475,-4.97495150762326,-4.97758396552275
3.22,-5.40881139344372,-5.61474699829393,-5.48582011019737,-4.64635152984575,-5.02648543855967,-5.00942285653391
3.24,-5.55857268242251,-5.78867933909071,-5.63804589240179,-4.63349524985234,-5.12599706150262,-5.10220530463308
3.26,-5.72377972929567,-5.99446926647589,-5.80626649527348,-4.65131821369771,-5.28324317004161,-5.26158145967249
3.28,-5.90302429092839,-6.23148046055784,-5.98899983828049,-4.7049770634223,-5.51066506425102,-5.49414157592731
3.3,-6.0958492026297,-6.49835424660956,-6.18593948907303,-4.80024541536263,-5.82330351922671,-5.80779702165076
3.32,-6.30259952481403,-6.79310579223773,-6.39817254291183,-4.94376686048273,-6.23915955849116,-6.2119918049087
3.34,-6.52394621001903,-7.11360069256041,-6.62828146388401,-5.14344392380327,-6.77994912953364,-6.71778867152751
3.36,-6.7599231832045,-7.4584033166918,-6.88028265753705,-5.40879331996137,-7.47211572528441,-7.33762661197052
3.38,-7.00865757611565,-7.82781175765593,-7.15937525598319,-5.75113819718657,-8.34816836359904,-8.08491821631095
3.4,-7.26521684655426,-8.22490580378291,-7.47149524077,-6.18347282202106,-9.44876205344508,-8.97355719848718
3.42,-7.52127700607181,-8.65624777570372,-7.82268693133399,-6.71990449465159,-10.826197537409,-10.0175648338343
3.44,-7.76659751311227,-9.1322067428123,-8.21831651194551,-7.37459599205493,-12.5502126899916,-11.2307904398493
3.46,-7.99247019476641,-9.66641854713413,-8.66216745739543,-8.15997414769987,-14.7133310581162,-12.6252784047894
3.48,-8.19643976745606,-10.2746483482877,-9.15548621656957,-9.08407906101831,-17.4038605714635,-14.2013907297973
3.5,-8.38620751997411,-10.9721114642851,-9.69610150273705,-10.1463821164801,-20.4187812064882,-15.90731462643
3.52,-8.58117981082775,-11.7687053591638,-10.2778376352188,-11.331440607766,-22.0370542866767,-17.5183935017678
3.54,-8.81173112022401,-12.6601151302786,-10.8905902018288,-12.5990651625565,-20.3853423151225,-18.472330863236
3.56,-9.11821212533489,-13.612881242816,-11.5215890081928,-13.8723487701592,-17.6924079387538,-18.2026455885095
3.58,-9.5513977346061,-14.5441007399152,-12.1583679190845,-15.0319458283809,-15.3880606950716,-16.9776450610775
3.6,-10.1769570866065,-15.3101611761177,-12.7934974076842,-15.9387843231635,-13.5866096944505,-15.501872940938
3.62,-11.0849943984921,-15.7412912399995,-13.4300980039493,-16.5008273351812,-12.186520562542,-14.164212691306
3.64,-12.4097417217549,-15.7398865218302,-14.0860681433474,-16.7410538791712,-11.0882314351142,-13.0573965817429
3.66,-14.3730787043584,-15.3544886650227,-14.794638376853,-16.7902510014739,-10.2133150813028,-12.1521487342635
3.68,-17.4126787361452,-14.7319802609808,-15.5986187915421,-16.8034735249001,-9.5025360524432,-11.3813185180294
3.7,-22.7517792731936,-14.0200239599703,-16.5314833095714,-16.8327622830338,-8.91496078077217,-10.6764669616416
3.72,-39.6005280764136,-13.3209604280221,-17.5625163464753,-16.6970069157979,-8.42814859376725,-9.99632549493809
3.74,-25.3292283581537,-12.6925724511616,-18.4610596012951,-16.1533247688686,-8.03741504039207,-9.35237019195169
3.76,-18.9849871642329,-12.1600050185151,-18.6608524740418,-15.2871981348933,-7.75288790611698,-8.80793240096467
3.78,-15.6255307305331,-11.7268569658785,-17.6968771810993,-14.3579968459973,-7.59441474938139,-8.43457177130439
3.8,-13.426699767656,-11.3862519666865,-15.9465437303,-13.5146514906142,-7.58539887016289,-8.26005401836064
3.82,-11.8384666016274,-11.1325223931276,-14.0957101061979,-12.7964740240741,-7.74516061843697,-8.25253195183365
3.84,-10.6182038848113,-10.9652976322574,-12.4939017077122,-12.1966357003797,-8.07588377655199,-8.331080463814
3.86,-9.63974924843239,-10.8623328307605,-11.2065077237109,-11.6928777298152,-8.53613369289754,-8.38668036425558
3.88,-8.83214632220471,-10.7250444671533,-10.1770168441775,-11.2578008168935,-9.00483812893423,-8.33381899684089
3.9,-8.15395883537404,-10.4232735616777,-9.32620160379109,-10.8622176390303,-9.29170043660293,-8.16852556969891
3.92,-7.58023903403995,-9.93943045264397,-8.59773417832387,-10.4774802644726,-9.27037293035787,-7.95441141156573
